First_line,City,Postcode,Council_ward,Bedrooms,Bathrooms,Lounges,Price,Square_ft,Property_type,Council_tax_band,EPC_band,Parking,Longitude,Latitude
"Flat B,  104 King Street",Aberdeen,AB24 5BB,George St/Harbour,1,1,1,475,67,Flat,CT Band B,EPC band D,,-2.093482384,57.1505164
177a Hardgate,Aberdeen,AB11 6YB,Torry/Ferryhill,1,1,1,425,28,Flat,CT Band A,EPC band D,,-2.112439523,57.1379603
10 Bonnymuir Place,Aberdeen,AB15 5NL,Midstocket/Rosemount,2,1,2,650,78,Flat,CT Band E,EPC band D,Parking,-2.1295596,57.1500725
"Top Floor Left,  246 King Street",Aberdeen,AB24 5BW,George St/Harbour,2,1,1,395,44,Flat,CT Band A,EPC band F,,-2.0943829,57.153038
268 Union Grove,Aberdeen,AB10 6TR,Hazlehead/Queens Cross/Countesswells,1,1,1,450,51,Flat,CT Band B,EPC band D,,-2.1269179,57.1392469
11 Elmbank Road,Aberdeen,AB24 3PH,George St/Harbour,1,1,1,475,44,Flat,CT Band A,EPC band C,,-2.1069156,57.158494
50 Bedford Road,Aberdeen,AB24 3LL,Tillydrone/Seaton/Old Aberdeen,1,1,1,375,42,Flat,CT Band A,EPC band D,,-2.1097463,57.1614898
2E Dunbar Street,Aberdeen,AB24 3UD,Tillydrone/Seaton/Old Aberdeen,1,1,1,450,53,Flat,CT Band B,EPC band D,,-2.1013278,57.166038
92 Great Northern Road,Aberdeen,AB24 3QB,Hilton/Woodside/Stockethill,1,1,1,375,38,Flat,CT Band A,EPC band D,,-2.1154576,57.1647208
7 Fraser Street,Aberdeen,AB25 3XT,George St/Harbour,2,1,1,425,47,Flat,CT Band A,EPC band E,,-2.1086177,57.1556882
260 Union Grove,Aberdeen,AB10 6TR,Hazlehead/Queens Cross/Countesswells,1,1,1,475,43,Flat,CT Band A,EPC band D,,-2.1262285,57.1393908
"Flat C,  380 King Street",Aberdeen,AB24 3BQ,George St/Harbour,3,1,1,960,59,Flat,CT Band B,EPC band C,,-2.0953411,57.1571808
3 Cairn Crescent,Aberdeen,AB15 9TW,Lower Deeside,3,1,2,1300,134,House Detached,CT Band F,EPC band C,Parking,-2.1941172,57.1156448
26 Chattan Place,Aberdeen,AB10 6RD,Hazlehead/Queens Cross/Countesswells,1,1,1,395,36,Flat,CT Band A,EPC band D,,-2.1208248,57.1382914
6c Wallfield Place,Aberdeen,AB25 2JN,Midstocket/Rosemount,3,1,1,900,77,Flat,CT Band C,EPC band C,Parking,-2.1198654,57.1491547
47J Kings Gate,Aberdeen,AB15 4EL,Hazlehead/Queens Cross/Countesswells,2,2,1,775,83,Flat,CT Band E,EPC band C,Parking,-2.134638,57.146867
37S Kings Gate,Aberdeen,AB15 4EL,Hazlehead/Queens Cross/Countesswells,2,2,1,700,92,Flat,CT Band E,EPC band C,Parking,-2.133549,57.147246
130 Charles Street,Aberdeen,AB25 3TZ,George St/Harbour,2,1,1,625,56,Flat,CT Band D,EPC band C,Parking,-2.104960062,57.15530261
1 Glendale Mews,Aberdeen,AB11 6FN,Torry/Ferryhill,2,1,1,550,57,Flat,CT Band D,EPC band D,Parking,-2.112013,57.1409308
10 Esslemont Avenue,Aberdeen,AB25 1SL,Midstocket/Rosemount,1,1,1,450,52,Flat,CT Band B,EPC band C,,-2.113550869,57.14730718
32 Hilton Avenue,Aberdeen,AB24 4RE,Hilton/Woodside/Stockethill,3,2,1,900,96,Flat,CT Band F,EPC band B,Parking,-2.126037004,57.16582062
125 Portland Street,Aberdeen,AB11 6LN,Torry/Ferryhill,2,1,1,725,78,Flat,CT Band D,EPC band C,Parking,-2.0995485,57.1404142
80 Hutcheon Low Place,Aberdeen,AB21 9WL,Dyce/Bucksburn/Danestone,1,1,1,450,36,Flat,CT Band B,EPC band C,Parking,-2.1455178,57.1758259
187 Broomhill Road,Aberdeen,AB10 6JQ,Airyhall/Broomhill/Garthdee,3,2,2,1750,117,House Semi Detached,CT Band F,EPC band D,Parking,-2.125420493,57.12964088
15E Powis Place,Aberdeen,AB25 3TR,George St/Harbour,2,1,1,425,41,Flat,CT Band A,EPC band E,,-2.103957,57.155808
61 Fonthill Road,Aberdeen,AB11 6UQ,Torry/Ferryhill,1,1,1,375,44,Flat,CT Band B,EPC band D,,-2.108299877,57.1369239
"Flat F,  139 Union Grove",Aberdeen,AB10 6SN,Hazlehead/Queens Cross/Countesswells,2,1,1,600,67,Flat,CT Band E,EPC band B,,-2.119014,57.1408431
85 Claremont Street,Aberdeen,AB10 6QR,Hazlehead/Queens Cross/Countesswells,1,1,1,450,40,Flat,CT Band A,EPC band C,,-2.120603077,57.13869751
107 Cordiner Avenue,Aberdeen,AB24 4SA,Hilton/Woodside/Stockethill,2,2,1,800,87,Flat,CT Band D,EPC band C,Parking,-2.1271753,57.164513
41 Garthdee Drive,Aberdeen,AB10 7HS,Airyhall/Broomhill/Garthdee,3,1,1,1000,90,House Semi Detached,CT Band C,EPC band C,Parking,-2.1308549,57.1237921
"Flat C,  22 Willowbank Road",Aberdeen,AB11 6YH,Torry/Ferryhill,3,1,1,780,51,Flat,CT Band B,EPC band D,,-2.1047365,57.1407042
"Townhouse,  Stoneywood Brae",Aberdeen,AB21 9DW,Dyce/Bucksburn/Danestone,3,2,1,1405,155,House Terraced,CT Band F,EPC band B,Parking,-2.1771749,57.1846138
"2 Bed Concept,  Stoneywood Brae",Aberdeen,AB21 9FA,Dyce/Bucksburn/Danestone,2,2,1,767,200,Flat,CT Band D,EPC band B,Parking,-2.1760663,57.1839349
"1 Bed,  Stoneywood Brae",Aberdeen,AB21 9FA,Dyce/Bucksburn/Danestone,1,1,1,705,150,Flat,CT Band B,EPC band B,Parking,-2.1761333,57.184244
"2 Bed Traditional,  Stoneywood Brae",Aberdeen,AB21 9FA,Dyce/Bucksburn/Danestone,2,2,1,751,200,Flat,CT Band D,EPC band B,Parking,-2.1760663,57.1839349
"Studio Flat,  Stoneywood Brae",Aberdeen,AB21 9FA,Dyce/Bucksburn/Danestone,1,1,1,554,91,Flat,CT Band A,EPC band B,Parking,-2.1761333,57.184244
